,date,store_id,cat_id,sales,anomaly
0,2011-01-29,TX_1,FOODS,299.02204747528003,False
1,2011-01-30,TX_1,FOODS,193.65445756040026,False
2,2011-01-31,TX_1,FOODS,-763.2731323544785,False
3,2011-02-01,TX_1,FOODS,-20.01072226935821,False
4,2011-02-02,TX_1,FOODS,-579.0983121842378,False
5,2011-02-03,TX_1,FOODS,1176.4040979008832,False
6,2011-02-04,TX_1,FOODS,-785.5934920139966,False
7,2011-02-05,TX_1,FOODS,794.8489180711244,False
8,2011-02-06,TX_1,FOODS,1340.5313281562453,False
9,2011-02-07,TX_1,FOODS,-99.96626175863457,False
10,2011-02-08,TX_1,FOODS,-960.5438516735139,False
11,2011-02-09,TX_1,FOODS,-48.3514415883933,False
12,2011-02-10,TX_1,FOODS,-417.8890315032727,False
13,2011-02-11,TX_1,FOODS,45.043378581848174,False
14,2011-02-12,TX_1,FOODS,1151.8957886669687,False
15,2011-02-13,TX_1,FOODS,2166.218198752089,False
16,2011-02-14,TX_1,FOODS,-380.0593911627898,False
17,2011-02-15,TX_1,FOODS,208.5830189223302,False
18,2011-02-16,TX_1,FOODS,-440.18457099254874,False
19,2011-02-17,TX_1,FOODS,-685.2821609074285,False
20,2011-02-18,TX_1,FOODS,-464.5597508223077,False
21,2011-02-19,TX_1,FOODS,314.0826592628132,False
22,2011-02-20,TX_1,FOODS,494.6150693479335,False
23,2011-02-21,TX_1,FOODS,-426.44252056694586,False
24,2011-02-22,TX_1,FOODS,-757.2101104818248,False
25,2011-02-23,TX_1,FOODS,-1070.2377003967044,False
26,2011-02-24,TX_1,FOODS,-567.1452903115837,False
27,2011-02-25,TX_1,FOODS,-637.8228802264634,False
28,2011-02-26,TX_1,FOODS,152.97952985865732,False
29,2011-02-27,TX_1,FOODS,638.9619399437784,False
30,2011-02-28,TX_1,FOODS,-489.24564997110156,False
31,2011-03-01,TX_1,FOODS,-451.87323988598064,False
32,2011-03-02,TX_1,FOODS,-537.3308298008601,False
33,2011-03-03,TX_1,FOODS,-315.48841971573984,False
34,2011-03-04,TX_1,FOODS,-677.1860096306191,False
35,2011-03-05,TX_1,FOODS,936.4964004545018,False
36,2011-03-06,TX_1,FOODS,1367.818810539622,False
37,2011-03-07,TX_1,FOODS,425.6212206247428,False
38,2011-03-08,TX_1,FOODS,-360.6763692901368,False
39,2011-03-09,TX_1,FOODS,195.41604079498438,False
40,2011-03-10,TX_1,FOODS,-620.2115491198952,False
41,2011-03-11,TX_1,FOODS,-342.87913903477465,False
42,2011-03-12,TX_1,FOODS,1219.9232710503456,False
43,2011-03-13,TX_1,FOODS,1238.7156811354666,False
44,2011-03-14,TX_1,FOODS,241.5880912205871,False
45,2011-03-15,TX_1,FOODS,727.0505013057077,False
46,2011-03-16,TX_1,FOODS,-425.00708860917166,False
47,2011-03-17,TX_1,FOODS,-162.79467852405105,False
48,2011-03-18,TX_1,FOODS,-98.02226843893004,False
49,2011-03-19,TX_1,FOODS,276.00014164619006,False
50,2011-03-20,TX_1,FOODS,715.622551731311,False
51,2011-03-21,TX_1,FOODS,-622.6950381835686,False
52,2011-03-22,TX_1,FOODS,-850.192628098448,False
53,2011-03-23,TX_1,FOODS,-933.8202180133271,False
54,2011-03-24,TX_1,FOODS,-771.4278079282067,False
55,2011-03-25,TX_1,FOODS,-734.7053978430858,False
56,2011-03-26,TX_1,FOODS,124.13701224203442,False
57,2011-03-27,TX_1,FOODS,778.0394223271551,False
58,2011-03-28,TX_1,FOODS,-752.378167587724,False
59,2011-03-29,TX_1,FOODS,-947.0857575026034,False
60,2011-03-30,TX_1,FOODS,-955.903347417483,False
61,2011-03-31,TX_1,FOODS,-978.900937332362,False
62,2011-04-01,TX_1,FOODS,503.4514727527585,False
63,2011-04-02,TX_1,FOODS,539.0638828378787,False
64,2011-04-03,TX_1,FOODS,1139.2762929229998,False
65,2011-04-04,TX_1,FOODS,-313.30129699188,False
66,2011-04-05,TX_1,FOODS,332.9411130932408,False
67,2011-04-06,TX_1,FOODS,-21.736476821638462,False
68,2011-04-07,TX_1,FOODS,263.8359332634823,False
69,2011-04-08,TX_1,FOODS,-65.92165665139692,False
70,2011-04-09,TX_1,FOODS,1372.3907534337236,False
71,2011-04-10,TX_1,FOODS,1252.7831635188436,False
72,2011-04-11,TX_1,FOODS,404.85557360396433,False
73,2011-04-12,TX_1,FOODS,646.0379836890852,False
74,2011-04-13,TX_1,FOODS,208.49039377420604,False
75,2011-04-14,TX_1,FOODS,-486.65719614067393,False
76,2011-04-15,TX_1,FOODS,358.00521394444695,False
77,2011-04-16,TX_1,FOODS,837.7676240295682,False
78,2011-04-17,TX_1,FOODS,857.9700341146881,False
79,2011-04-18,TX_1,FOODS,-349.80755580019104,False
80,2011-04-19,TX_1,FOODS,-558.7051457150706,False
81,2011-04-20,TX_1,FOODS,-806.99273562995,False
82,2011-04-21,TX_1,FOODS,-685.5303255448289,False
83,2011-04-22,TX_1,FOODS,-191.94791545970884,False
84,2011-04-23,TX_1,FOODS,642.8244946254117,False
85,2011-04-24,TX_1,FOODS,429.42690471053265,False
86,2011-04-25,TX_1,FOODS,-900.310685204347,False
87,2011-04-26,TX_1,FOODS,-991.1082751192262,False
88,2011-04-27,TX_1,FOODS,-1224.9158650341055,False
89,2011-04-28,TX_1,FOODS,-1518.183454948985,False
90,2011-04-29,TX_1,FOODS,-800.8810448638642,False
91,2011-04-30,TX_1,FOODS,-88.97863477874398,False
92,2011-05-01,TX_1,FOODS,1282.983775306377,False
93,2011-05-02,TX_1,FOODS,-606.1938146085022,False
94,2011-05-03,TX_1,FOODS,31.918595476618066,False
95,2011-05-04,TX_1,FOODS,-969.4889944382612,False
96,2011-05-05,TX_1,FOODS,-147.65658435314072,False
97,2011-05-06,TX_1,FOODS,1874.66582573198,False
98,2011-05-07,TX_1,FOODS,1043.478235817101,False
99,2011-05-08,TX_1,FOODS,-101.9693540977787,False
100,2011-05-09,TX_1,FOODS,381.663055987342,False
101,2011-05-10,TX_1,FOODS,-90.0245339275375,False
102,2011-05-11,TX_1,FOODS,-589.0221238424169,False
103,2011-05-12,TX_1,FOODS,-242.46971375729618,False
104,2011-05-13,TX_1,FOODS,574.3826963278243,False
105,2011-05-14,TX_1,FOODS,427.08510641294515,False
106,2011-05-15,TX_1,FOODS,1421.8075164980655,False
107,2011-05-16,TX_1,FOODS,-2.450073416813666,False
108,2011-05-17,TX_1,FOODS,-301.047663331693,False
109,2011-05-18,TX_1,FOODS,-980.5752532465726,False
110,2011-05-19,TX_1,FOODS,-804.882843161452,False
111,2011-05-20,TX_1,FOODS,-466.03043307633106,False
112,2011-05-21,TX_1,FOODS,118.79197700878922,False
113,2011-05-22,TX_1,FOODS,358.48438709390985,False
114,2011-05-23,TX_1,FOODS,-745.1732028209694,False
115,2011-05-24,TX_1,FOODS,-1120.9407927358488,False
116,2011-05-25,TX_1,FOODS,-698.0383826507282,False
117,2011-05-26,TX_1,FOODS,-774.2359725656079,False
118,2011-05-27,TX_1,FOODS,-760.303562480487,False
119,2011-05-28,TX_1,FOODS,-11.931152395366098,False
120,2011-05-29,TX_1,FOODS,101.65125768975395,False
121,2011-05-30,TX_1,FOODS,-476.5163322251251,False
122,2011-05-31,TX_1,FOODS,-963.1839221400041,False
